id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Men with children aged 0-5,ARG,,2000,10.19852828979492,10,,Children (men),8,Argentina,Argentina,Years of formal education.,Years of education,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married men,ARG,,2000,10.38478374481201,14,,Marital status (men),10,Argentina,Argentina,Years of formal education.,Years of education,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children aged 0-5,ARG,,2000,10.50925922393799,7,,Children (women),7,Argentina,Argentina,Years of formal education.,Years of education,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,10.05062007904053,1,,Total,1,Argentina,Argentina,Years of formal education.,Years of education,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men without children,ARG,,2000,10.49610233306885,9,,Children (men),8,Argentina,Argentina,Years of formal education.,Years of education,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,10.0093240737915,3,,Gender,4,Argentina,Argentina,Years of formal education.,Years of education,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,,2000,10.0093240737915,23,,Man,3,Argentina,Argentina,Years of formal education.,Years of education,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,.0781055986881256,4,.085035861,Women - men gap,5,Argentina,Argentina,Years of formal education.,Years of education,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children older than 5,ARG,,2000,9.461409568786621,8,,Children (women),7,Argentina,Argentina,Years of formal education.,Years of education,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women without children,ARG,,2000,10.50509929656982,6,,Children (women),7,Argentina,Argentina,Years of formal education.,Years of education,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
