id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Men without children,ARG,,2000,16.18049430847168,9,,Children (men),8,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,,2000,12.18871402740479,23,,Man,3,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children aged 0-5,ARG,,2000,13.28299808502197,10,,Children (men),8,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,4.368344783782959,4,.72624278,Women - men gap,5,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children older than 5,ARG,,2000,13.94808578491211,8,,Children (women),7,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married women,ARG,,2000,16.00730323791504,13,,Marital status (women),9,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,16.55705833435059,2,,Gender,4,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children older than 5,ARG,,2000,11.80226230621338,11,,Children (men),8,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married women,ARG,,2000,17.75894355773926,12,,Marital status (women),9,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,14.49866771697998,1,,Total,1,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women/men ratio,ARG,,2000,1.358392596244812,26,,Women/men ratio,6,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married men,ARG,,2000,12.51063442230225,15,,Marital status (men),10,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children aged 0-5,ARG,,2000,18.20657348632813,7,,Children (women),7,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Woman,ARG,,2000,16.55705833435059,22,,Woman,2,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married men,ARG,,2000,11.16869163513184,14,,Marital status (men),10,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women without children,ARG,,2000,21.47778129577637,6,,Children (women),7,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,12.18871402740479,3,,Gender,4,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Married men,ARG,,2001,12.11838436126709,15,,Marital status (men),10,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women with children older than 5,ARG,,2001,13.71818256378174,8,,Children (women),7,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men with children older than 5,ARG,,2001,11.56507873535156,11,,Children (men),8,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Woman,ARG,,2001,16.53955459594727,22,,Woman,2,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men with children aged 0-5,ARG,,2001,12.66791820526123,10,,Children (men),8,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Not married women,ARG,,2001,17.90885925292969,12,,Marital status (women),9,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women with children aged 0-5,ARG,,2001,18.21392631530762,7,,Children (women),7,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women,ARG,,2001,16.53955459594727,2,,Gender,4,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,14.39216613769531,1,,Total,1,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women/men ratio,ARG,,2001,1.379755139350891,26,,Women/men ratio,6,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men,ARG,,2001,11.98731136322021,3,,Gender,4,Argentina,Argentina,Percentage of adults with a college degree.,Highly skilled adults,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
