id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Low skilled women,ARG,,2000,347.7317810058594,16,,Qualification (women),11,Argentina,Argentina,Average monthly labor income (USD PPP 2005).,Labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women without children,ARG,,2000,820.9419555664063,6,,Children (women),7,Argentina,Argentina,Average monthly labor income (USD PPP 2005).,Labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children aged 0-5,ARG,,2000,924.4086303710938,10,,Children (men),8,Argentina,Argentina,Average monthly labor income (USD PPP 2005).,Labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,815.673095703125,1,,Total,1,Argentina,Argentina,Average monthly labor income (USD PPP 2005).,Labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married women,ARG,,2000,677.361083984375,13,,Marital status (women),9,Argentina,Argentina,Average monthly labor income (USD PPP 2005).,Labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Woman,ARG,,2000,655.2242431640625,22,,Woman,2,Argentina,Argentina,Average monthly labor income (USD PPP 2005).,Labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,-268.8674011230469,4,22.700884,Women - men gap,5,Argentina,Argentina,Average monthly labor income (USD PPP 2005).,Labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married women,ARG,,2000,625.0449829101563,12,,Marital status (women),9,Argentina,Argentina,Average monthly labor income (USD PPP 2005).,Labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children older than 5,ARG,,2000,658.6482543945313,8,,Children (women),7,Argentina,Argentina,Average monthly labor income (USD PPP 2005).,Labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,,2000,924.0916748046875,23,,Man,3,Argentina,Argentina,Average monthly labor income (USD PPP 2005).,Labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
