id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,High skilled men,ARG,,2000,92.65003967285156,21,,Qualification (men),12,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,-34.87777328491211,4,.83695841,Women - men gap,5,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children aged 0-5,ARG,,2000,98.33681488037109,10,,Children (men),8,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,77.92708587646484,18,,Qualification (women),11,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women/men ratio,ARG,,2000,.6208937168121338,26,,Women/men ratio,6,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled men,ARG,,2000,89.87831115722656,19,,Qualification (men),12,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married men,ARG,,2000,93.81167602539063,15,,Marital status (men),10,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,57.12221527099609,2,,Gender,4,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children aged 0-5,ARG,,2000,48.86282730102539,7,,Children (women),7,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married men,ARG,,2000,86.26307678222656,14,,Marital status (men),10,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married women,ARG,,2000,76.03444671630859,12,,Marital status (women),9,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,45.48788452148438,16,,Qualification (women),11,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women without children,ARG,,2000,60.57085037231445,6,,Children (women),7,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,57.5612678527832,17,,Qualification (women),11,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Woman,ARG,,2000,57.12221527099609,22,,Woman,2,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled men,ARG,,2000,94.12919616699219,20,,Qualification (men),12,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,91.99999237060547,3,,Gender,4,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children older than 5,ARG,,2000,53.91883087158203,8,,Children (women),7,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,73.56112670898438,1,,Total,1,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children older than 5,ARG,,2000,91.63229370117188,11,,Children (men),8,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,,2000,91.99999237060547,23,,Man,3,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married women,ARG,,2000,48.44991302490234,13,,Marital status (women),9,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men without children,ARG,,2000,89.71796417236328,9,,Children (men),8,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Woman,ARG,,2001,56.53857040405273,22,,Woman,2,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Medium skilled women,ARG,,2001,55.4013671875,17,,Qualification (women),11,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women - men gap,ARG,,2001,-35.60790634155273,4,.83117348,Women - men gap,5,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men with children aged 0-5,ARG,,2001,98.58165740966797,10,,Children (men),8,Argentina,Argentina,Percentage of the population working or looking for a job.,Labor force participation rate,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
