id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,5.186413764953613,1,,Total,1,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children older than 5,ARG,,2000,5.354169845581055,8,,Children (women),7,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women/men ratio,ARG,,2000,.9767025113105774,26,,Women/men ratio,6,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children aged 0-5,ARG,,2000,5.322047710418701,7,,Children (women),7,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married men,ARG,,2000,5.344649791717529,15,,Marital status (men),10,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children older than 5,ARG,,2000,5.726728916168213,11,,Children (men),8,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married women,ARG,,2000,4.704170703887939,12,,Marital status (women),9,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,,2000,5.236315250396729,23,,Man,3,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled men,ARG,,2000,9.659431457519531,21,,Qualification (men),12,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children aged 0-5,ARG,,2000,4.873969554901123,10,,Children (men),8,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,3.269168376922607,16,,Qualification (women),11,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women without children,ARG,,2000,5.81084680557251,6,,Children (women),7,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Woman,ARG,,2000,5.114322185516357,22,,Woman,2,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,7.7290940284729,18,,Qualification (women),11,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married men,ARG,,2000,4.823543548583984,14,,Marital status (men),10,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married women,ARG,,2000,5.415619850158691,13,,Marital status (women),9,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,5.236315250396729,3,,Gender,4,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled men,ARG,,2000,4.855975151062012,20,,Qualification (men),12,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,-.1219929978251457,4,.14730334,Women - men gap,5,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,4.336755752563477,17,,Qualification (women),11,Argentina,Argentina,Average salary in main occupation (USD PPP 2005).,Hourly wage,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
